stops,distance,trip_1,trip_2,trip_3,trip_4,trip_5,trip_6,trip_7,trip_8,trip_9,trip_10,trip_11,trip_12,trip_13,trip_14,trip_15,trip_16,trip_17,trip_18,trip_19,trip_20,trip_21,trip_22,trip_23,trip_24,trip_25,trip_26,trip_27,trip_28,trip_29,trip_30,trip_31,trip_32,trip_33,trip_34,trip_35,trip_36,trip_37,trip_38,trip_39,trip_40,trip_41,trip_42,trip_43,trip_44,trip_45,trip_46,trip_47
Forest Glade,3.1,5:20,5:45,6:15,6:45,7:15,7:45,8:15,8:45,9:15,9:45,10:20,10:40,11:00,11:20,11:40,12:00,12:20,12:40,13:00,13:20,13:40,14:00,14:20,14:40,15:00,15:20,15:40,16:00,16:20,16:40,17:00,17:20,17:40,18:00,18:15,18:45,19:15,19:45,20:15,20:45,21:15,21:45,22:15,22:45,23:15,23:45,0:15
Tecumseh Mall,2.1,5:29,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:37,10:57,11:17,11:37,11:57,12:17,12:37,12:57,13:17,13:37,13:57,14:17,14:37,14:57,15:17,15:37,15:57,16:17,16:37,16:57,17:17,17:37,17:57,18:17,18:32,19:02,19:32,20:02,20:32,21:00,21:30,22:00,22:30,23:00,23:30,0:00,0:30
Tecumseh & Rivard,5,5:36,6:10,6:40,7:10,7:40,8:10,8:40,9:10,9:40,10:10,10:47,11:07,11:27,11:47,12:07,12:27,12:47,13:07,13:27,13:47,14:07,14:27,14:47,15:07,15:27,15:47,16:07,16:27,16:47,17:07,17:27,17:47,18:07,18:27,18:42,19:12,19:42,20:12,20:42,21:10,21:40,22:10,22:40,23:10,23:40,0:10,0:40
Howard & Tecumseh,3.2,5:44,6:18,6:48,7:18,7:48,8:18,8:48,9:18,9:48,10:18,10:55,11:15,11:35,11:55,12:15,12:35,12:55,13:15,13:35,13:55,14:15,14:35,14:55,15:15,15:35,15:55,16:15,16:35,16:55,17:15,17:35,17:55,18:15,18:35,18:50,19:20,19:50,20:20,20:50,21:18,21:48,22:18,22:48,23:18,23:48,0:18,0:48
Ouellette & Wyandotte,1,6:03,6:37,7:07,7:37,8:07,8:37,9:07,9:37,10:07,10:37,11:15,11:35,11:55,12:15,12:35,12:55,13:15,13:35,13:55,14:15,14:35,14:55,15:15,15:35,15:55,16:15,16:35,16:55,17:15,17:35,17:55,18:15,18:35,18:55,19:10,19:40,20:10,20:40,21:10,21:37,22:07,22:37,23:07,23:37,0:07,0:37,1:07
Windsor International Transit Terminal,2.8,6:09,6:45,7:15,7:45,8:15,8:45,9:15,9:45,10:15,10:45,11:23,11:43,12:03,12:23,12:43,13:03,13:23,13:43,14:03,14:23,14:43,15:03,15:23,15:43,16:03,16:23,16:43,17:03,17:23,17:43,18:03,18:23,18:43,19:03,19:18,19:48,20:18,20:48,21:18,21:45,22:15,22:45,23:15,23:45,0:15,0:45,1:15
University of Windsor,2.9,6:14,6:49,7:19,7:49,8:19,8:49,9:19,9:49,10:19,10:49,11:28,11:48,12:08,12:28,12:48,13:08,13:28,13:48,14:08,14:28,14:48,15:08,15:28,15:48,16:08,16:28,16:48,17:08,17:28,17:48,18:08,18:28,18:48,19:08,19:23,19:53,20:23,20:53,21:23,21:49,22:19,22:49,23:19,23:49,0:19,0:49,1:19
Hotel Dieu Grace health care,0,6:24,6:59,7:29,7:59,8:29,8:59,9:29,9:59,10:29,10:59,11:38,11:58,12:18,12:38,12:58,13:18,13:38,13:58,14:18,14:38,14:58,15:18,15:38,15:58,16:18,16:38,16:58,17:18,17:38,17:58,18:18,18:38,18:58,19:18,19:33,20:03,20:33,21:03,21:33,21:59,22:29,22:59,23:29,23:59,0:29,0:59,1:29
